,artist,number,title,year
49,Ray Charles,50,What'd I Say,1959
50,Sarah Vaughan,51,Broken Hearted Melody,1959
51,Franck Pourcel,52,Only You (And You Alone),1959
52,Billy Grammer,53,Gotta Travel On,1959
53,The Coasters,54,Poison Ivy,1959
54,Fabian,55,Turn Me Loose,1959
55,Jackie Wilson,56,Lonely Teardrops,1959
56,Andy Williams,57,Hawaiian Wedding Song,1959
57,Duane Eddy,58,Forty Miles of Bad Road,1959
58,Frankie Avalon,59,Just Ask Your Heart,1959
59,Travis and Bob,60,Tell Him No,1959
60,Connie Francis,61,Frankie,1959
61,The Bell Notes,62,I've Had It,1959
62,LaVern Baker,63,I Cried a Tear,1959
63,The Platters,64,Enchanted,1959
64,The Skyliners,65,Since I Don't Have You,1959
65,Ray Anthony,66,Peter Gunn Theme,1959
66,The Chipmunks,67,The Chipmunk Song (Christmas Don't Be Late),1959
67,Fats Domino,68,I Want to Walk You Home,1959
68,The Fiestas,69,So Fine,1959
69,Frankie Avalon,70,Bobby Sox to Stockings,1959
70,Wink Martindale,71,The Deck of Cards,1959
71,Clyde McPhatter,72,A Lover's Question,1959
72,The Flamingos,73,I Only Have Eyes for You,1959
73,Ricky Nelson,74,It's Late,1959
74,Chris Barber's Jazz Band,75,Petite Fleur,1959
75,Annette Funicello,76,Tall Paul,1959
76,The Kingston Trio,77,The Tijuana Jail,1959
77,Ricky Nelson,78,Just a Little Too Much,1959
78,Jack Scott,79,Goodbye Baby,1959
79,The Coasters,80,Along Came Jones,1959
80,Tommy Dee & Carol Kay,81,Three Stars,1959
81,Frankie Avalon,82,A Boy Without a Girl,1959
82,Ricky Nelson,83,Sweeter Than You,1959
83,Skip & Flip,84,It Was I,1959
84,Kathy Linden,85,"Goodbye Jimmy, Goodbye",1959
85,Reg Owen,86,Manhattan Spiritual,1959
86,Brook Benton,87,Endlessly,1959
87,Guy Mitchell,88,Heartaches by the Number,1959
88,Frankie Ford,89,Sea Cruise,1959
89,Jackie Wilson,90,That's Why (I Love You So),1959
90,The Falcons,91,You're So Fine,1959
91,Bobby Rydell,92,Kissin' Time,1959
92,Elvis Presley,93,My Wish Came True,1959
93,Ivo Robić,94,Morgen,1959
94,Jan and Dean,95,Baby Talk,1959
95,The Everly Brothers,96,Take a Message to Mary,1959
96,Mormon Tabernacle Choir,97,The Battle Hymn of the Republic,1959
97,Preston Epps,98,Bongo Rock,1959
98,Ernie Fields,99,In the Mood,1959
99,Paul Evans,100,Seven Little Girls Sitting in the Back Seat,1959
100,Percy Faith,1,Theme from A Summer Place,1960
101,Jim Reeves,2,He'll Have to Go,1960
102,The Everly Brothers,3,Cathy's Clown,1960
103,Johnny Preston,4,Running Bear,1960
104,Mark Dinning,5,Teen Angel,1960
105,Brenda Lee,6,I'm Sorry,1960
106,Elvis Presley,7,It's Now or Never,1960
107,Jimmy Jones,8,Handy Man,1960
108,Elvis Presley,9,Stuck on You,1960
109,Chubby Checker,10,The Twist,1960
110,Connie Francis,11,Everybody's Somebody's Fool,1960
111,Bobby Rydell,12,Wild One,1960
112,The Brothers Four,13,Greenfields,1960
113,Jack Scott,14,What in the World's Come Over You,1960
114,Marty Robbins,15,El Paso,1960
115,The Hollywood Argyles,16,Alley Oop,1960
116,Connie Francis,17,My Heart Has a Mind of Its Own,1960
117,Brenda Lee,18,Sweet Nothin's,1960
118,Brian Hyland,19,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,1960
119,Roy Orbison,20,Only the Lonely,1960
120,Dion and the Belmonts,21,Where or When,1960
121,Connie Stevens,22,Sixteen Reasons,1960
122,Paul Anka,23,Puppy Love,1960
123,Frankie Avalon,24,Why,1960
124,The Ventures,25,"Walk, Don't Run",1960
125,The Drifters,26,Save the Last Dance for Me,1960
126,Dinah Washington & Brook Benton,27,Baby (You've Got What It Takes),1960
127,Johnny Horton,28,Sink the Bismarck,1960
128,Sam Cooke,29,Chain Gang,1960
129,The Everly Brothers,30,Let It Be Me,1960
130,Jimmy Jones,31,Good Timin',1960
131,Bobby Darin,32,Beyond the Sea,1960
132,Jimmy Clanton,33,Go Jimmy Go,1960
133,Jackie Wilson,34,Night,1960
134,Jack Scott,35,Burning Bridges,1960
135,Toni Fisher,36,The Big Hurt,1960
136,Duane Eddy,37,Because They're Young,1960
137,Conway Twitty,38,Lonely Blue Boy,1960
138,Steve Lawrence,39,Pretty Blue Eyes,1960
139,Freddy Cannon,40,Way Down Yonder in New Orleans,1960
140,Anita Bryant,41,Paper Roses,1960
141,Larry Verne,42,Mr. Custer,1960
142,Brenda Lee,43,I Want to Be Wanted,1960
143,The Fendermen,44,Mule Skinner Blues,1960
144,Johnny Preston,45,Cradle of Love,1960
145,Marv Johnson,46,You Got What It Takes,1960
146,Hank Locklin,47,"Please Help Me, I'm Falling",1960
147,Ron Holden,48,Love You So,1960
148,Hank Ballard and The Midnighters,49,Finger Poppin' Time,1960
149,The Platters,50,Harbor Lights,1960
150,Billy Bland,51,Let the Little Girl Dance,1960
151,Jeanne Black,52,He'll Have to Stay,1960
152,Ferrante & Teicher,53,Theme From The Apartment,1960
153,Bobby Rydell,54,Volare,1960
154,Jimmy Charles,55,A Million to One,1960
155,Andy Williams,56,The Village of St. Bernadette,1960
156,Bill Black's Combo,57,White Silver Sands,1960
157,The Browns,58,The Old Lamp-Lighter,1960
158,Bobby Vee,59,Devil or Angel,1960
159,The Four Preps,60,Down by the Station,1960
160,The Little Dippers,61,Forever,1960
161,The Safaris & The Phantom's Band,62,Image of a Girl,1960
162,Brook Benton,63,Kiddio,1960
163,Donnie Brooks,64,Mission Bell,1960
164,Marv Johnson,65,I Love The Way You Love,1960
165,Paul Anka,66,It's Time to Cry,1960
166,Ray Peterson,67,Tell Laura I Love Her,1960
167,Connie Francis,68,Mama,1960
168,Steve Lawrence,69,Footsteps,1960
169,The Everly Brothers,70,So Sad,1960
170,Brenda Lee,71,That's All You Gotta Do,1960
171,Fats Domino,72,Walking to New Orleans,1960
172,Connie Francis,73,Among My Souvenirs,1960
173,Bobby Rydell,74,Swingin' School,1960
174,Dinah Washington & Brook Benton,75,A Rockin' Good Way (To Mess Around and Fall in Love),1960
175,Neil Sedaka,76,Stairway to Heaven,1960
176,Paul Anka,77,My Home Town,1960
177,Ray Charles,78,Georgia on My Mind,1960
178,Skip and Flip,79,Cherry Pie,1960
179,Sam Cooke,80,Wonderful World,1960
180,Spencer Ross,81,Tracy's Theme,1960
181,Lloyd Price,82,Lady Luck,1960
182,The Crests,83,Step By Step,1960
183,Paul Evans,84,Happy-Go-Lucky Me,1960
184,Ricky Nelson,85,Young Emotions,1960
185,Johnny Burnette,86,Dreamin',1960
186,Johnny Tillotson,87,Poetry in Motion,1960
187,Annette Funicello,88,O Dio Mio,1960
188,Joe Jones,89,You Talk Too Much,1960
189,Johnny and the Hurricanes,90,Beatnik Fly,1960
190,The Everly Brothers,91,When Will I Be Loved,1960
191,Bob Luman,92,Let's Think About Livin,1960
192,Guy Mitchell,93,Heartaches by the Number,1960
193,Anita Bryant,94,My Little Corner of the World,1960
194,Jackie Wilson,95,Doggin' Around,1960
195,Bobby Rydell,96,Little Bitty Girl,1960
196,Barrett Strong,97,Money (That's What I Want),1960
197,Maurice Williams and the Zodiacs,98,Stay,1960
198,Charlie Rich,99,Lonely Weekends,1960
199,Larry Hall,100,Sandy,1960
200,Bobby Lewis,1,Tossin' and Turnin',1961
201,Patsy Cline,2,I Fall to Pieces,1961
202,The Highwaymen,3,Michael,1961
203,Roy Orbison,4,Crying,1961
204,Del Shannon,5,Runaway,1961
205,The Jive Five,6,My True Story,1961
206,Chubby Checker,7,Pony Time,1961
207,The String-A-Longs,8,Wheels,1961
208,Dee Clark,9,Raindrops,1961
209,Joe Dowell,10,Wooden Heart,1961
210,Lawrence Welk,11,Calcutta,1961
211,Bobby Vee,12,Take Good Care of My Baby,1961
212,Roy Orbison,13,Running Scared,1961
213,The Shirelles,14,Dedicated to the One I Love,1961
214,The Mar-Keys,15,Last Night,1961
215,The Shirelles,16,Will You Love Me Tomorrow,1961
216,Ferrante & Teicher,17,Exodus,1961
217,Connie Francis,18,Where the Boys Are,1961
218,Ray Charles,19,Hit the Road Jack,1961
219,Sue Thompson,20,Sad Movies (Make Me Cry),1961
220,Ernie K-Doe,21,Mother-in-Law,1961
221,The Dovells,22,Bristol Stomp,1961
222,Ricky Nelson,23,Travelin' Man,1961
223,The Miracles,24,Shop Around,1961
224,Brook Benton,25,The Boll Weevil Song,1961
225,Gene McDaniels,26,A Hundred Pounds of Clay,1961
226,Dick and Dee Dee,27,The Mountain's High,1961
227,Marty Robbins,28,Don't Worry,1961
228,Floyd Cramer,29,On the Rebound,1961
229,Steve Lawrence,30,Portrait of My Love,1961
230,Gary U.S. Bonds,31,Quarter to Three,1961
231,Barry Mann,32,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",1961
232,Neil Sedaka,33,Calendar Girl,1961
233,Chris Kenner,34,I Like It Like That,1961
234,Jørgen Ingmann,35,Apache,1961
235,Linda Scott,36,Don't Bet Money Honey,1961
236,Johnny Tillotson,37,Without You,1961
237,Ferlin Husky,38,Wings of a Dove,1961
238,Elvis Presley,39,Little Sister,1961
239,The Marcels,40,Blue Moon,1961
240,Shep and the Limelites,41,Daddy's Home,1961
241,Troy Shondell,42,This Time,1961
242,"Clarence ""Frogman"" Henry",43,(I Don't Know Why) But I Do,1961
243,Kokomo,44,Asia Minor,1961
244,Faron Young,45,Hello Walls,1961
245,Dion,46,Runaround Sue,1961
246,Arthur Lyman,47,Yellow Bird,1961
247,Timi Yuro,48,Hurt,1961
248,Ricky Nelson,49,Hello Mary Lou,1961
249,The Capris,50,There's a Moon Out Tonight,1961
250,Elvis Presley,51,Surrender,1961
251,The Paris Sisters,52,I Love How You Love Me,1961
252,Lee Dorsey,53,Ya Ya,1961
253,Gary U.S. Bonds,54,School Is Out,1961
254,Bob Moore,55,Mexico,1961
255,Ral Donner,56,You Don't Know What You've Got (Until You Lose It),1961
256,The Everly Brothers,57,Walk Right Back,1961
257,The Lettermen,58,The Way You Look Tonight,1961
258,Pat Boone,59,Moody River,1961
259,Ray Charles,60,One Mint Julep,1961
260,Adam Wade,61,Take Good Care of Her,1961
261,Carla Thomas,62,Gee Whiz (Look at His Eyes),1961
262,Ben E. King,63,Stand by Me,1961
263,Ben E. King,64,Spanish Harlem,1961
264,Ike and Tina Turner,65,It's Gonna Work Out Fine,1961
265,The Echoes,66,Baby Blue,1961
266,Buzz Clifford,67,Baby Sittin' Boogie,1961
267,Del Shannon,68,Hats Off to Larry,1961
268,Little Caesar & the Romans,69,Those Oldies But Goodies,1961
269,Chubby Checker,70,The Fly,1961
270,Elvis Presley,71,(Marie's the Name) His Latest Flame,1961
271,Bert Kaempfert,72,Wonderland by Night,1961
272,Tony Orlando,73,Bless You,1961
273,Linda Scott,74,I've Told Every Little Star,1961
274,Bobby Lewis,75,One Track Mind,1961
275,Rosie and the Originals,76,Angel Baby,1961
276,Curtis Lee,77,Pretty Little Angel Eyes,1961
277,Brook Benton,78,Think Twice,1961
278,Lonnie Donegan,79,Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?),1961
279,Connie Francis,80,Breakin' in a Brand New Broken Heart,1961
280,The Shirelles,81,Mama Said,1961
281,Fats Domino,82,Let the Four Winds Blow,1961
282,Adam Wade,83,The Writing on the Wall,1961
283,Matt Monro,84,My Kind of Girl,1961
284,Paul Anka,85,"Tonight My Love, Tonight",1961
285,Floyd Cramer,86,San Antonio Rose,1961
286,Jimmy Dean,87,Big Bad John,1961
287,Bobby Rydell,88,Good Time Baby,1961
288,Bobby Vee,89,Rubber Ball,1961
289,Ray Peterson,90,Missing You,1961
290,Brenda Lee,91,Dum Dum,1961
291,Eddie Hodges,92,I'm Gonna Knock on Your Door,1961
292,Brenda Lee,93,You Can Depend on Me,1961
293,Chubby Checker,94,Let's Twist Again,1961
294,The Dave Brubeck Quartet,95,Take Five,1961
295,Elvis Presley,96,Are You Lonesome Tonight?,1961
296,Don Gibson,97,Sea of Heartbreak,1961
297,The Four Preps,98,More Money for You and Me,1961
298,Bobby Darin,99,You Must Have Been a Beautiful Baby,1961
299,The Drifters,100,Please Stay,1961
300,Acker Bilk,1,Stranger on the Shore,1962
301,Ray Charles,2,I Can't Stop Loving You,1962
302,Dee Dee Sharp,3,Mashed Potato Time,1962
303,Bobby Vinton,4,Roses Are Red (My Love),1962
304,David Rose,5,The Stripper,1962
305,Shelley Fabares,6,Johnny Angel,1962
306,Little Eva,7,The Loco-Motion,1962
307,The Sensations,8,Let Me In,1962
308,Chubby Checker,9,The Twist,1962
309,The Shirelles,10,Soldier Boy,1962
310,Bruce Channel,11,Hey! Baby,1962
311,Dion,12,The Wanderer,1962
312,Gene Chandler,13,Duke of Earl,1962
313,Freddy Cannon,14,Palisades Park,1962
314,Neil Sedaka,15,Breaking Up Is Hard to Do,1962
315,Claude King,16,Wolverton Mountain,1962
316,Chubby Checker & Dee Dee Sharp,17,Slow Twistin',1962
317,Johnny Tillotson,18,It Keeps Right On a-Hurtin',1962
318,Mary Wells,19,The One Who Really Loves You,1962
319,Elvis Presley,20,Good Luck Charm,1962
320,Kenny Ball,21,Midnight in Moscow,1962
321,Tommy Roe,22,Sheila,1962
322,Sam Cooke,23,Twistin' the Night Away,1962
323,The Orlons,24,The Wah-Watusi,1962
324,Joey Dee and the Starliters,25,Peppermint Twist,1962
325,Brenda Lee,26,Break It to Me Gently,1962
326,The Marvelettes,27,Playboy,1962
327,Nat King Cole,28,Ramblin' Rose,1962
328,Brian Hyland,29,Sealed with a Kiss,1962
329,Jay and the Americans,30,She Cried,1962
330,Connie Francis,31,Don't Break the Heart That Loves You,1962
331,Gary U.S. Bonds,32,Dear Lady Twist,1962
332,Sue Thompson,33,Norman,1962
333,Ketty Lester,34,Love Letters,1962
334,Claudine Clark,35,Party Lights,1962
335,The Highwaymen,36,Cotton Fields,1962
336,Bent Fabric,37,Alley Cat,1962
337,The Isley Brothers,38,Twist and Shout,1962
338,Richard Chamberlain,39,Theme from Dr. Kildare (Three Stars Will Shine Tonight),1962
339,Ace Cannon,40,Tuff,1962
340,Clyde McPhatter,41,Lover Please,1962
341,Barbara George,42,I Know (You Don't Love Me No More),1962
342,Ricky Nelson,43,Young World,1962
343,The Shirelles,44,Baby It's You,1962
344,Pat Boone,45,Speedy Gonzales,1962
345,Burl Ives,46,A Little Bitty Tear,1962
346,The Everly Brothers,47,Crying in the Rain,1962
347,Emilio Pericoli,48,Al di là,1962
348,Ernie Maresca,49,Shout! Shout! (Knock Yourself Out),1962
349,Don and Juan,50,What's Your Name,1962
350,The Corsairs,51,Smoky Places,1962
351,Sam Cooke,52,Having a Party,1962
352,Booker T. & the M.G.'s,53,Green Onions,1962
353,Ray Charles,54,You Don't Know Me,1962
354,The Four Seasons,55,Sherry,1962
355,Joanie Sommers,56,Johnny Get Angry,1962
356,Elvis Presley,57,Can't Help Falling in Love,1962
357,Joey Dee and the Starliters,58,Shout,1962
358,"Dave ""Baby"" Cortez",59,Rinky Dink,1962
359,Henry Mancini,60,Moon River,1962
360,Ray Stevens,61,Ahab the Arab,1962
361,Bobby Darin,62,Things,1962
362,Gene Pitney,63,(The Man Who Shot) Liberty Valance,1962
363,The Duprees,64,You Belong to Me,1962
364,Roy Orbison,65,Dream Baby (How Long Must I Dream),1962
365,Joe Henderson,66,Snap Your Fingers,1962
366,Dion,67,Lovers Who Wander,1962
367,Chris Montez,68,Let's Dance,1962
368,Johnny Crawford,69,Cindy's Birthday,1962
369,Mary Wells,70,You Beat Me to the Punch,1962
370,Barbara Lynn,71,You'll Lose a Good Thing,1962
371,The Crystals,72,Uptown,1962
372,Brenda Lee,73,Everybody Loves Me But You,1962
373,Dickey Lee,74,Patches,1962
374,Jimmy Clanton,75,Venus in Blue Jeans,1962
375,Paul Anka,76,Love Me Warm and Tender,1962
376,Rick Nelson,77,Teen Age Idol,1962
377,Patsy Cline,78,She's Got You,1962
378,Larry Finnegan,79,Dear One,1962
379,James Darren,80,Her Royal Majesty,1962
380,Walter Brennan,81,Old Rivers,1962
381,Burl Ives,82,Funny Way of Laughin',1962
382,Billy Vaughn,83,A Swingin' Safari,1962
383,Dick and Dee Dee,84,Tell Me,1962
384,Jimmy Dean,85,PT-109,1962
385,Dion,86,Little Diane,1962
386,Billy Joe and the Checkmates,87,Percolator (Twist),1962
387,Gary U.S. Bonds,88,"Twist, Twist, Señora",1962
388,Jimmy Soul,89,Twistin' Matilda,1962
389,Dee Dee Sharp,90,Gravy (For My Mashed Potatoes),1962
390,Jimmy Smith,91,Walk on the Wild Side,1962
391,King Curtis,92,Soul Twist,1962
392,Bobby Rydell,93,I'll Never Dance Again,1962
393,The Ikettes,94,I'm Blue (The Gong-Gong Song),1962
394,The Kingston Trio,95,Where Have All the Flowers Gone?,1962
395,Eddie Hodges,96,"(Girls, Girls, Girls) Made to Love",1962
396,Gene Pitney,97,Town Without Pity,1962
397,"Peter, Paul and Mary",98,If I Had a Hammer,1962
398,Ronnie & the Hi-Lites,99,I Wish That We Were Married,1962
399,The Beach Boys,100,Surfin' Safari,1962
400,The Beach Boys,1,Surfin' U.S.A.,1963
401,Skeeter Davis,2,The End of the World,1963
402,The Cascades,3,Rhythm of the Rain,1963
403,The Chiffons,4,He's So Fine,1963
404,Bobby Vinton,5,Blue Velvet,1963
405,Paul & Paula,6,Hey Paula,1963
406,Little Stevie Wonder,7,Fingertips,1963
407,Andy Williams,8,Can't Get Used to Losing You,1963
408,The Angels,9,My Boyfriend's Back,1963
409,Kyu Sakamoto,10,Sukiyaki,1963
410,The Tymes,11,So Much in Love,1963
411,"Peter, Paul & Mary",12,"Puff, the Magic Dragon",1963
412,"Peter, Paul & Mary",13,Blowin' in the Wind,1963
413,The Surfaris,14,Wipe Out,1963
414,Al Martino,15,I Love You Because,1963
415,The Rebels,16,Wild Weekend,1963
416,Bobby Darin,17,You're the Reason I'm Living,1963
417,The Four Seasons,18,Walk Like a Man,1963
418,Inez & Charlie Foxx,19,Mockingbird,1963
419,Little Peggy March,20,I Will Follow Him,1963
420,The Chantays,21,Pipeline,1963
421,Jan & Dean,22,Surf City,1963
422,Lesley Gore,23,It's My Party,1963
423,Eydie Gormé,24,Blame It on the Bossa Nova,1963
424,The Dovells,25,You Can't Sit Down,1963
425,Martha & the Vandellas,26,Heat Wave,1963
426,Randy & the Rainbows,27,Denise,1963
427,The Rooftop Singers,28,Walk Right In,1963
428,Jimmy Soul,29,If You Wanna Be Happy,1963
429,Trini Lopez,30,If I Had a Hammer,1963
430,The Essex,31,Easier Said Than Done,1963
431,Dion,32,Ruby Baby,1963
432,Ruby & the Romantics,33,Our Day Will Come,1963
433,Barbara Lewis,34,Hello Stranger,1963
434,The Ronettes,35,Be My Baby,1963
435,The Orlons,36,South Street,1963
436,Henry Mancini,37,Days of Wine and Roses,1963
437,Major Lance,38,The Monkey Time,1963
438,The Four Seasons,39,Candy Girl,1963
439,The Fireballs,40,Sugar Shack,1963
440,Bill Anderson,41,Still,1963
441,Bobby Vinton,42,Blue on Blue,1963
442,Garnet Mimms & and the Enchanters,43,Cry Baby,1963
443,Lou Christie,44,Two Faces Have I,1963
444,Ray Charles,45,Busted,1963
445,The Crystals,46,Da Doo Ron Ron,1963
446,The Shirelles,47,Foolish Little Girl,1963
447,Lonnie Mack,48,"Memphis, Tennessee",1963
448,Roy Orbison,49,In Dreams,1963
449,Kai Winding,50,More,1963
450,Skeeter Davis,51,I Can't Stay Mad at You,1963
451,Brenda Lee,52,Losing You,1963
452,Roy Orbison,53,Mean Woman Blues,1963
453,Bill Pursell,54,Our Winter Love,1963
454,Tony Bennett,55,I Wanna Be Around,1963
455,The Miracles,56,You've Really Got a Hold on Me,1963
456,The Jaynetts,57,Sally Go 'Round the Roses,1963
457,Elvis Presley,58,(You're the) Devil in Disguise,1963
458,Nat King Cole,59,Those Lazy-Hazy-Crazy Days of Summer,1963
459,Jackie Wilson,60,Baby Workout,1963
460,Marvin Gaye,61,Pride and Joy,1963
461,Nino Tempo & April Stevens,62,Deep Purple,1963
462,Ned Miller,63,From a Jack to a King,1963
463,The Drifters,64,Up on the Roof,1963
464,Johnny Mathis,65,What Will My Mary Say,1963
465,Jan Bradley,66,Mama Didn't Lie,1963
466,Bobby Vee,67,The Night Has a Thousand Eyes,1963
467,The Cookies,68,Don't Say Nothin' Bad (About My Baby),1963
468,Johnny Cash,69,Ring of Fire,1963
469,Doris Troy,70,Just One Look,1963
470,Allan Sherman,71,"Hello Muddah, Hello Fadduh",1963
471,Lesley Gore,72,Judy's Turn to Cry,1963
472,Rolf Harris,73,"Tie Me Kangaroo Down, Sport",1963
473,Rick Nelson,74,Fools Rush In,1963
474,The Village Stompers,75,Washington Square,1963
475,Dion,76,Donna the Prima Donna,1963
476,Nat King Cole,77,"That Sunday, That Summer",1963
477,Sam Cooke,78,Another Saturday Night,1963
478,Al Martino,79,"Painted, Tainted Rose",1963
479,Steve Lawrence,80,Go Away Little Girl,1963
480,Ray Charles,81,Take These Chains from My Heart,1963
481,Sunny & the Sunglows,82,Talk to Me,1963
482,Martha and the Vandellas,83,Come and Get These Memories,1963
483,Dee Dee Sharp,84,Do the Bird,1963
484,The Impressions,85,It's All Right,1963
485,The Beach Boys,86,Shut Down,1963
486,The Chiffons,87,One Fine Day,1963
487,Del Shannon,88,Little Town Flirt,1963
488,Joe Harnell,89,Fly Me to the Moon Bossa Nova,1963
489,The Kingston Trio,90,The Reverend Mr. Black,1963
490,The Dartells,91,Hot Pastrami,1963
491,The Ran-Dells,92,Martian Hop,1963
492,The Tymes,93,Wonderful! Wonderful!,1963
493,George Hamilton IV,94,Abilene,1963
494,Little Johnny Taylor,95,Part Time Love,1963
495,Los Indios Tabajaras,96,Maria Elena,1963
496,Bobby Bare,97,Detroit City,1963
497,Chubby Checker,98,Twenty Miles,1963
498,The New Christy Minstrels,99,"Green, Green",1963
499,Freddie Scott,100,Hey Girl,1963
500,The Beatles,1,I Want to Hold Your Hand,1964
501,The Beatles,2,She Loves You,1964
502,Louis Armstrong,3,"Hello, Dolly!",1964
503,Roy Orbison,4,"Oh, Pretty Woman",1964
504,The Beach Boys,5,I Get Around,1964
505,Dean Martin,6,Everybody Loves Somebody,1964
506,Mary Wells,7,My Guy,1964
507,Gale Garnett,8,We'll Sing in the Sunshine,1964
508,J. Frank Wilson & the Cavaliers,9,Last Kiss,1964
509,The Supremes,10,Where Did Our Love Go,1964
510,Barbra Streisand,11,People,1964
511,Al Hirt,12,Java,1964
512,The Beatles,13,A Hard Day's Night,1964
513,The Beatles,14,Love Me Do,1964
514,Manfred Mann,15,Do Wah Diddy Diddy,1964
515,The Beatles,16,Please Please Me,1964
516,Martha and the Vandellas,17,Dancing in the Street,1964
517,Billy J. Kramer & The Dakotas,18,Little Children,1964
518,The Ray Charles Singers,19,Love Me with All Your Heart (Cuando Calienta El Sol),1964
519,The Drifters,20,Under the Boardwalk,1964
520,The Dixie Cups,21,Chapel of Love,1964
521,Terry Stafford,22,Suspicion,1964
522,The Dave Clark Five,23,Glad All Over,1964
523,The Four Seasons,24,Rag Doll,1964
524,The Four Seasons,25,Dawn (Go Away),1964
525,The Newbeats,26,Bread and Butter,1964
526,Gene Pitney,27,It Hurts to Be in Love,1964
527,Jan and Dean,28,Dead Man's Curve,1964
528,Jay and the Americans,29,Come a Little Bit Closer,1964
529,Peter and Gordon,30,A World Without Love,1964
530,The Honeycombs,31,Have I the Right?,1964
531,The Serendipity Singers,32,Don't Let the Rain Come Down (Crooked Little Man),1964
532,The Supremes,33,Baby Love,1964
533,Betty Everett & Jerry Butler,34,Let It Be Me,1964
534,Dusty Springfield,35,Wishin' and Hopin',1964
535,Lesley Gore,36,You Don't Own Me,1964
536,Dionne Warwick,37,Walk On By,1964
537,The Animals,38,The House of the Rising Sun,1964
538,Ronny & the Daytonas,39,G.T.O.,1964
539,The Beatles,40,Twist and Shout,1964
540,Johnny Rivers,41,Memphis,1964
541,Danny Williams,42,White On White,1964
542,The Rip Chords,43,Hey Little Cobra,1964
543,Betty Everett,44,The Shoop Shoop Song (It's in His Kiss),1964
544,The Dave Clark Five,45,Bits and Pieces,1964
545,Millie Small,46,My Boy Lollipop,1964
546,Major Lance,47,"Um, Um, Um, Um, Um, Um",1964
547,Jan and Dean,48,The Little Old Lady from Pasadena,1964
548,Gerry and the Pacemakers,49,Don't Let the Sun Catch You Crying,1964
549,Chad & Jeremy,50,A Summer Song,1964
550,Stan Getz & Astrud Gilberto,51,The Girl from Ipanema,1964
551,The Beatles,52,Can't Buy Me Love,1964
552,The Shangri-Las,53,Remember (Walking in the Sand),1964
553,Bobby Freeman,54,C'mon and Swim,1964
554,The Beatles,55,Do You Want to Know a Secret,1964
555,The Impressions,56,Keep On Pushing,1964
556,The Four Tops,57,Baby I Need Your Loving,1964
557,Diane Renay,58,Navy Blue,1964
558,The Bachelors,59,Diane,1964
559,The Marketts,60,Out of Limits,1964
560,The Hondells,61,Little Honda,1964
561,Roger Miller,62,Chug-a-Lug,1964
562,Bobby Goldsboro,63,See the Funny Little Clown,1964
563,The Dave Clark Five,64,Because,1964
564,The Reflections,65,(Just Like) Romeo and Juliet,1964
565,Rick Nelson,66,For You,1964
566,The New Christy Minstrels,67,Today,1964
